CourseCode,CourseFullName
 KIN 1 , Adapted Physical Activities
 KIN 2A , Beginning Swimming
 KIN 2B , Intermediate Swimming
 KIN 2C , Advanced Swimming
 KIN 3 , Water Polo
 KIN 7 , Mexican Folklorico Dance
 KIN 8 , Skin and SCUBA Diving
 KIN 9A , Beginning Sailing
 KIN 10A , Beginning Kayaking
 KIN 11A , Beginning Rowing
 KIN 13A , Beginning Rugby
 KIN 14A , Beginning Volleyball
 KIN 14B , Intermediate Volleyball
 KIN 14C , Advanced Volleyball
 KIN 15A , Beginning Basketball
 KIN 15B , Intermediate Basketball
 KIN 18A , Beginning Handball
 KIN 18B , Intermediate Handball
 KIN 19A , Beginning Soccer
 KIN 19B , Intermediate Soccer
 KIN 20A , Beginning Badminton
 KIN 20B , Intermediate Badminton
 KIN 20C , Advanced Badminton
 KIN 21A , Beginning Tennis
 KIN 21B , Intermediate Tennis
 KIN 21C , Advanced Tennis
 KIN 22A , Beginning Racquetball
 KIN 22B , Intermediate Racquetball
 KIN 23A , Beginning Archery
 KIN 23B , Intermediate Archery
 KIN 24A , Beginning Bowling
 KIN 24B , Intermediate Bowling
 KIN 24C , Advanced Bowling
 KIN 25A , Beginning Golf
 KIN 25B , Intermediate Golf
 KIN 27A , Beginning Table Tennis
 KIN 27B , Intermediate Table Tennis
 KIN 28A , Beginning Gymnastics
 KIN 29 , Cardio Kickboxing
 KIN 30 , Pilates
 KIN 31 , Body Sculpting
 KIN 32 , Aerobics
 KIN 33 , Advanced Aerobic Activities
 KIN 34 , Step Training
 KIN 35A , Beginning Weight Training
 KIN 35B , Intermediate Weight Training
 KIN 35C , Advanced Weight Training
 KIN 36 , Conditioning through Cross Training
 KIN 37 , Fitness Walking
 KIN 38 , Beginning Jogging
 KIN 40A , Topics in Modern Dance I
 KIN 41A , Topics in Ballet I
 KIN 42A , Topics in Jazz Dance I
 KIN 45A , Beginning Lindy Hop and Night Club Swing
 KIN 46A , Beginning Social Dance
 KIN 46B , Intermediate Social Dance
 KIN 47A , Beginning West Coast Swing
 KIN 48A , Beginning Latin Dance
 KIN 48B , Intermediate Latin Dance
 KIN 49A , Topics in Tap Dance I
 KIN 49B , Topics in Tap Dance II
 KIN 50 , Tai Chi (Non-Combative)
 KIN 51A , Beginning Aikido
 KIN 51B , Intermediate Aikido
 KIN 52A , Beginning Judo
 KIN 52B , Intermediate Judo
 KIN 52C , Competitive Judo
 KIN 53A , Beginning Karate
 KIN 53B , Intermediate Karate
 KIN 54A , Beginning Tae Kwon Do
 KIN 54B , Intermediate Tae Kwon Do
 KIN 55A , Beginning Self-Defense
 KIN 58A , Introductory Brazilian Jiu-Jitsu
 KIN 61A , Beginning Hatha Yoga
 KIN 61B , Intermediate Hatha Yoga
 KIN 62A , Beginning Ice Skating
 KIN 63A , Beginning Hiking and Backpacking
 KIN 65A , Beginning Ice Hockey
 ADV 91 , Introduction to Advertising
 ADV 92 , International Program Studies
 ADV 93 , Design Fundamentals for Advertising 1
 ADV 94 , Design Fundamentals for Advertising 2
 ADV 95 , Working With Type
 ADV 116 , Spartan Daily Advertising Staff
 ADV 121 , Strategic Planning/Communications
 ADV 122 , Business-to-Business Advertising
 ADV 123 , Broadcast and New Media Advertising
 ADV 124 , Copywriting
 ADV 125 , Advertising Layout and Production
 ADV 126 , Media Planning and Buying
 ADV 128 , Integrated Marketing Communications (IMC)
 ADV 129 , Advertising Campaign Planning and Management
 ADV 130 , Advertising Portfolio 1
 ADV 131 , Advertising Portfolio 2
 ADV 132 , UX UI Design for Advertising
 ADV 192 , International Program Studies
 AE 15 ," Air & Space Flight: Past, Present, and Future"
 AE 20 , Computer-Aided Design for Aerospace Engineers
 AE 30 , Computer Programming for Aerospace Engineers
 AE 92 , International Program Studies
 AE 100 , Fundamentals of Aerospace Engineering
 AE 110 , Space Systems Engineering
 AE 112 , Aerospace Structural Analysis I
 AE 112W , AE Structural Analysis I Problem-Solving Workshop
 AE 114 , Aerospace Structural Analysis II
 AE 114W , AE Structural Analysis II Problem-Solving Workshop
 AE 138 , Vector-Based Dynamics for Aerospace Applications
 AE 138W , Vector-Based Dynamics Problem-Solving Workshop
 AE 140 , Rigid Body Dynamics
 AE 140W , Rigid Body Dynamics Problem-Solving Workshop
 AE 142 , Astrodynamics
 AE 149 , Advanced Dynamics and Simulation
 AE 157 , Aerospace Automatic Control Systems Design
 AE 160 , Aerodynamics I
 AE 160W , Aerodynamics I Problem-Solving Workshop
 AE 162 , Aerodynamics II
 AE 164 , Aerothermodynamics
 AE 164W , Aerothermodynamics Problem-Solving Workshop
 AE 165 , Aerospace Flight Mechanics
 AE 166 , Rocketry
 AE 167 , Aerospace Propulsion
 AE 168 , Aerospace Vehicle Dynamics and Control
 AE 169 , Computational Fluid Dynamics
 AE 171A , Aircraft Design I
 AE 171B , Aircraft Design II
 AE 172A , Spacecraft Design I
 AE 172B , Spacecraft Design II
 AE 173 , Design of Unmanned Aerial Vehicles
 AE 180 , Individual Studies
 AE 192 , International Program Studies
 AE 199 , Special Topics in Aerospace Engineering
 AE 200 , Engineering Analysis of Aerospace Systems
 AE 210 , Advanced Space Systems Engineering
 AE 242 , Orbital Mechanics and Mission Design
 AE 243 , Advanced Astrodynamics
 AE 245 , Spacecraft Dynamics and Control
 AE 246 , Advanced Aircraft Stability and Control
 AE 247 , Trajectory Optimization in Aerospace Applications
 AE 250 , Advanced Structures and Materials
 AE 251 , Structural Vibrations for Aerospace Applications
 AE 262 , Advanced Aerodynamics
 AE 264 , Gas Dynamics
 AE 265 , Boundary Layers
 AE 267 , Space Propulsion Systems
 AE 269 , Advanced Computational Fluid Dynamics
 AE 271 , Advanced Aircraft Design
 AE 273 , Aircraft Subsystems
 AE 280 , Hypersonics and Reentry Systems
 AE 295A , Aerospace Engineering Masters Project I
 AE 295B , Aerospace Engineering Masters Project II
 AE 297 , Special Topics in Aerospace Engineering
 AE 298 , Special Projects in Aerospace Engineering
 AE 299 , Aerospace Engineering Masters Thesis
 AE 1290R , Culminating Experience Supervision
 AE 162W , Aerodynamics II Problem-Solving Workshop
 AS 1A , The Foundation of the United States Air Force
 AS 1B , The Foundation of the United States Air Force
 AS 2A , Team Leadership Fundamentals
 AS 2B , Team Leadership Fundamentals
 AS 131A , Air Force Leadership Studies
 AS 131B , Air Force Leadership Studies
 AS 141A , National Security Affairs
 AS 141B , Preparation for Active Duty
 AMS 1A , American Cultures to 1877
 AMS 1B , American Cultures 1877 to Present
 AMS 92 , International Program Studies
 AMS 100W , Writing in the Humanities & Interdisciplinary Arts
 AMS 129 , How the World sees the United States
 AMS 139 , Animals and Society
 AMS 159 , Nature and World Cultures
 AMS 160 , Special Topics in Humanities
 AMS 169 , The American Dream
 AMS 179 , American Popular Culture
 AMS 180 , Individual Studies
 AMS 190 , Senior Seminar in Humanities
 AMS 192 , International Program Studies
 AFAM 2A , African Americans and the Development of America’s History and Government
 AFAM 2B , African Americans and the Development of America’s History and Government
 AFAM 22 , The Humanities in African American Culture
 AFAM 25 , The Changing Majority: Power and Ethnicity in America
 AFAM 40 , African Origins
 AFAM 100W , Writing Workshop
 AFAM 102 , African American Music
